Name,Country,Innings,Batting Average,Batting Strike Rate,Hundreds,Fifties,Bowling Economy,Wickets Taken,Bowling Strike Rate,Bowling Average
Rohit Sharma,India,252,49.14,91.64,31,55,5.24,9,66.44,58.0
Virat Kohli,India,278,58.45,93.54,49,71,6.16,5,132.4,136.0
Ravindra Jadeja,India,131,32.7,85.36,0,13,4.88,220,43.77,35.59
Mohammad Shami,India,47,7.93,83.92,0,0,5.55,187,26.12,24.14
KL Rahul,India,66,49.77,88.38,7,16,-,-,-,-
Jasprit Bumrah,India,25,8.18,57.69,0,0,4.57,146,30.59,23.3
Shreyas Iyer,India,51,49.38,99.42,4,17,6.32,0,0.0,0.0
Mohammed Siraj,India,13,6.17,40.22,0,0,4.96,66,26.2,21.64
Ishan Kishan,India,24,42.41,102.19,1,7,-,-,-,-
Shardul Thakur,India,25,17.32,105.11,0,1,6.23,65,29.85,30.98
Shubman Gill,India,42,60.75,103.06,6,12,5.5,0,0.0,0.0
Surya Kumar Yadav,India,33,26.93,106.8,0,4,8.5,0,0.0,0.0
Ravichandran Ashwin,India,63,16.44,86.96,0,1,4.93,156,40.4,33.21
Prasidh Krishna,India,-,-,-,-,-,7.62,4,12.0,15.25
Will Young,New Zealand,28,40.96,85.76,2,7,-,-,-,-
Mitch Santner,New Zealand,77,28.04,91.25,0,3,4.87,107,45.0,36.53
Ish Sodhi,New Zealand,24,10.05,72.83,0,0,5.52,61,39.46,36.33
Jimmy Neesham,New Zealand,65,28.21,99.93,0,7,6.26,71,34.48,36.0
Kane Williamson,New Zealand,156,48.16,81.28,13,44,5.36,37,39.65,35.41
Tim Southee,New Zealand,95,12.22,96.32,0,1,5.5,218,36.77,33.7
Tom Latham,New Zealand,130,34.67,85.23,7,23,-,-,-,-
Trent Boult,New Zealand,51,8.92,77.26,0,0,4.96,210,29.14,24.1
Glenn Phillips,New Zealand,23,34.7,96.26,0,4,6.08,12,36.0,36.5
Lockie Ferguson,New Zealand,29,7.25,50.0,0,0,5.64,99,32.85,30.9
Mark Chapman,New Zealand,53,30.91,132.77,1,7,7.07,4,21.0,24.75
Daryl Mitchell,New Zealand,34,49.76,96.91,5,5,5.67,13,22.38,21.15
Devon Conway,New Zealand,30,45.67,89.8,5,3,-,-,-,-
Rachin Ravindra,New Zealand,17,47.12,109.28,3,3,5.91,17,44.18,43.53
Kyle Jamieson,New Zealand,6,20.75,81.37,0,0,5.08,14,43.14,36.5
Kagiso Rabada,South Africa,41,15.22,79.91,0,0,5.05,156,32.92,27.69
Tabraiz Shamsi,South Africa,12,6.5,48.15,0,0,5.54,70,34.33,31.71
Marco Jansen,South Africa,18,32.46,113.44,0,1,6.3,35,30.0,31.51
Keshav Maharaj,South Africa,20,14.4,87.8,0,0,4.62,51,39.57,30.49
David Miller,South Africa,99,34.12,144.78,2,6,-,-,-,-
Rassie van der Dussen,South Africa,53,56.49,88.87,6,14,3.0,1,6.0,3.0
Temba Bavuma,South Africa,36,45.82,89.26,5,4,3.57,0,0.0,0.0
Reeza Hendricks,South Africa,53,31.63,130.56,0,14,21.0,0,0.0,0.0
Lungi Ngidi,South Africa,22,11.38,49.19,0,0,5.75,88,29.76,28.5
Aiden Markram,South Africa,61,37.47,99.37,3,10,5.88,16,48.69,47.69
Heinrich Klaasen,South Africa,47,41.23,116.37,4,6,6.6,0,0.0,0.0
Gerald Coetzee,South Africa,6,6.33,74.51,0,0,6.6,29,21.1,23.21
Quinton de Kock,South Africa,154,46.03,96.8,21,30,-,-,-,-
Andile Phehlukwayo,South Africa,50,25.66,88.85,0,2,5.77,90,33.21,31.92
Lizaad Williams,South Africa,-,-,-,-,-,7.08,3,33.33,39.33
Mitch Marsh,Australia,83,36.9,96.37,3,18,5.52,56,38.88,35.79
Glenn Maxwell,Australia,125,35.71,127.06,4,23,5.49,69,52.51,48.03
Steve Smith,Australia,137,43.98,87.72,12,32,5.41,28,38.43,34.68
David Warner,Australia,157,45.37,97.04,22,33,8.0,0,0.0,0.0
Pat Cummins,Australia,56,13.28,76.36,0,0,5.32,136,32.83,29.1
Josh Hazlewood,Australia,31,17.29,90.98,0,0,4.74,128,34.05,26.88
Adam Zampa,Australia,16,6.0,82.76,0,0,6.99,82,19.09,22.23
Alex Carey,Australia,66,32.98,88.4,1,8,-,-,-,-
Josh Inglis,Australia,12,26.5,144.02,0,0,-,-,-,-
Mitchell Starc,Australia,70,12.07,81.5,0,1,5.23,230,26.61,23.18
Travis Head,Australia,59,39.89,101.39,4,15,5.78,16,63.19,60.88
Sean Abbott,Australia,4,10.0,100.0,0,0,7.85,13,15.23,19.92
Marcus Stoinis,Australia,44,30.21,147.13,0,2,8.57,23,20.43,29.17
Cameron Green,Australia,20,31.57,83.4,0,1,5.72,16,43.0,41.0
Marnus Labuschagne,Australia,44,37.0,85.38,2,10,6.8,2,101.5,115.0
